description,ratio,n_train,auc,acc,sens,spec,Method
0.0 (+0 LDM),0.0,336,0.7683971099812685,0.7085714285714285,0.801980198019802,0.581081081081081,LDM
0.4 (+134 LDM),0.4,470,0.6993577736151994,0.6685714285714286,0.7227722772277227,0.5945945945945946,LDM
0.8 (+268 LDM),0.8,604,0.7401659084827401,0.7028571428571428,0.7425742574257426,0.6486486486486487,LDM
1 (+336 LDM),1,672,0.7222370885737223,0.6685714285714286,0.693069306930693,0.6351351351351351,LDM
1.5 (+504 LDM),1.5,840,0.7754883596467754,0.6914285714285714,0.7029702970297029,0.6756756756756757,LDM
2.0 (+672 LDM),2.0,1008,0.7824458121487824,0.6914285714285714,0.7326732673267327,0.6351351351351351,LDM
0.0 (+0 cGAN),0.0,336,0.7683971099812685,0.7085714285714285,0.801980198019802,0.581081081081081,cGAN
0.4 (+134 cGAN),0.4,470,0.7543484078137543,0.6628571428571428,0.693069306930693,0.6216216216216216,cGAN
0.8 (+268 cGAN),0.8,604,0.7492641156007493,0.6971428571428572,0.7623762376237624,0.6081081081081081,cGAN
1 (+336 cGAN),1,672,0.7736151993577736,0.7257142857142858,0.7524752475247525,0.6891891891891891,cGAN
1.5 (+504 cGAN),1.5,840,0.7268530907144769,0.6742857142857143,0.7821782178217822,0.527027027027027,cGAN
2.0 (+672 cGAN),2.0,1008,0.7543484078137543,0.72,0.8217821782178217,0.581081081081081,cGAN
0.0 (+0 SMOTE),0.0,336,0.7683971099812685,0.7085714285714285,0.801980198019802,0.581081081081081,SMOTE
0.4 (+134 SMOTE),0.4,470,0.7453839978592454,0.6914285714285714,0.7029702970297029,0.6756756756756757,SMOTE
0.8 (+268 SMOTE),0.8,604,0.7721434305592721,0.6914285714285714,0.6831683168316832,0.7027027027027027,SMOTE
1 (+336 SMOTE),1,672,0.763112122023013,0.72,0.7227722772277227,0.7162162162162162,SMOTE
1.5 (+504 SMOTE),1.5,840,0.7353492105967354,0.6685714285714286,0.6336633663366337,0.7162162162162162,SMOTE
2.0 (+672 SMOTE),2.0,1008,0.7956248327535457,0.7142857142857143,0.7227722772277227,0.7027027027027027,SMOTE
